
name,title,direction
徐怀宇,特聘教授,软件工程、城轨交通、电子商务（中科院上海高等研究院研究员）
徐林,助理教授、研究员,生物医学信号处理
相里斌,特聘教授,光学、空间技术（上海微小卫星工程中心研究员）
余金培,特聘教授,卫星通信与微小卫星研制（上海微小卫星工程中心）
叶朝锋,助理教授、研究员,无损检测电磁测量传感器技术与仪器
尹增山,特聘教授,卫星总体技术（上海微小卫星工程中心）
杨智策,助理教授、研究员,无线与移动系统
杨雨梦,助理教授、研究员,自旋电子学器件、磁性随机存储器与磁阻传感器、电子器件噪声检测
殷树,助理教授、研究员,并行与分布式存储系统高性能文件系统存储系统容错与可靠性研究大数据挖掘及分析
虞晶怡  执行院长,正教授,计算机视觉，计算机图形学，计算成像和摄影，医学图像处理，生物信息学
袁晓兵,特聘教授,传感器网络（中科院上海微系统与信息技术研究所研究员）
周勇,助理教授、研究员,无线通信与网络；物联网
周平强,副教授、研究员,集成电路与系统、计算机系统架构、机器学习
张晓林,特聘教授,仿生机器人视觉系统（中科院上海微系统与信息技术研究所研究员）
张海鹏,助理教授、研究员,数据挖掘（金融数据、电商数据、社交媒体数据、网络数据）
张涛,特聘教授,光电技术（中科院上海技术物理研究所研究员）
张玉瑶,助理教授、研究员,医学图像处理
张良峰,助理教授、研究员,现代密码学，代数编码论
张钊锋,特聘教授,物联网核心芯片及嵌入式微系统研究（中科院上海高等研究院研究员）
朱振才,特聘教授,卫星总体设计（上海微小卫星工程中心研究员）
赵子平,信息科学与技术学院,数据分析，信号处理，金融工程，智能网络
赵建龙,特聘教授,微电子、生物传感器（中科院上海微系统与信息技术研究所研究员）
赵登吉,助理教授、研究员,人工智能多智能体系统算法博弈论拍卖/机制设计共享和数字经济
邹新波,助理教授、研究员,GaN光电子器件III族氮化物纳米线器件宽禁带半导体材料及功率器件
邹毅,助理教授、研究员,集成光子学、微纳光学、光纤光学
郑杰,副教授、研究员,数据科学，生物信息学，健康医疗大数据，人工智能
郑锐,助理教授、研究员,医学超声测量与成像
